,100固定资产原值实现值（%）,100元固定资产原值实现利税（%）,100元资金实现利税（%）,100元工业总产值实现利税（%）,100元销售收入实现利税（%）,每吨标准煤实现工业产值（元）,每千瓦时电力实现工业产值（元）,全员劳动生产率（元/人.年）,100元流动资金实现产值（元）
北京（1）,119.29,30.98,29.92,25.97,15.48,2178,3.41,21006,296.7
天津（2）,143.98,31.59,30.21,21.94,12.29,2852,4.29,20254,363.1
河北（3）,94.8,17.2,17.95,18.14,9.37,1167,2.03,12607,322.2
山西（4）,65.8,11.08,11.06,12.15,16.84,8.82,1.65,10166,284.7
内蒙（5）,54.79,9.24,9.54,16.86,6.27,894,1.8,7564,225.4
辽宁（6）,94.51,21.12,22.83,22.35,11.28,1416,2.36,13.386,311.7
吉林（7）,80.49,13.36,13.76,16.6,7.14,1306,2.07,9400,274.1
黑龙江（8）,75.86,15.82,16.67,20.86,10.37,1267,2.26,9830,267
上海（9）,187.79,45.9,39.77,24.44,15.09,4346,4.11,31246,418.6
江苏（10）,205.96,27.65,22.58,13.42,7.81,3202,4.69,23377,407.2
浙江（11）,207.46,33.06,25.78,15.94,9.28,3811,4.19,22054,385.5
安徽（12）,110.78,20.7,20.12,18.69,6.6,1468,2.23,12578,341.1
福建（13）,122.76,22.52,19.93,18.34,8.35,2200,2.63,12164,301.2
江西（14）,94.94,14.7,14.18,15.49,6.69,1669,2.24,10463,274.4
山东（15）,117.58,21.93,20.89,18.65,9.1,1820,2.8,17829,331.1
河南（16）,85.98,17.3,17.18,20.12,7.67,1306,1.89,11247,276.5
湖北（17）,103.96,19.5,18.48,18.77,9.16,1829,2.75,15745,308.9
湖南（18）,104.03,21.47,21.28,20.63,8.72,1272,1.98,13161,309
广东（19）,136.44,23.64,20.83,17.33,7.85,2959,3.71,16259,334
广西（20）,100.72,22.04,20.9,21.88,9.67,1732,2.13,12441,296.4
四川（21）,84.73,14.35,14.17,16.93,7.96,1310,2.34,11703,242.5
贵州（22）,59.05,14.48,14.35,24.53,8.09,1068,1.32,9710,206.7
云南（23）,73.72,21.91,22.7,29.72,9.38,1447,1.94,12517,295.8
陕西（24）,78.02,13.13,12.57,16.83,9.19,1731,2.08,11369,220.3
甘肃（25）,59.62,14.07,16.24,23.59,11.34,926,1.13,13084,246.8
青海（26）,51.66,8.32,8.26,16.11,7.05,1055,1.31,9246,176.49
宁夏（27）,52.95,8.25,8.82,15.57,6.58,834,1.12,10406,245.4
新疆（28）,60.29,11.26,13.14,18.68,8.39,1041,2.9,10983,266
