nf,x1,x2,x3,x4,x5,x6
1978,306,299,0,0,0,0
1979,340,332,0,0,0,0
1980,429,419,0,0,0,0
1981,482.05,491.07,55.2,35.99,0,0
1982,508.54,491.62,57.4,40.74,0,0
1983,530.45,501.89,58.3,39.57,0,9.47
1984,642.87,561.37,58,39.51,0,9.63
1985,889.01,861.64,50.2,33.88,0,9.71
1986,1108.93,1056.48,50.1,43.42,0,9.69
1987,1191,1075.27,56.5,50.58,0,10.08
1988,1518.66,1468.52,52.1,57.21,0,10.87
1989,1741.61,1542.52,56.4,56.78,0,11.49
1990,1963.18,1627.64,56.2,73.89,38.24,11.67
1991,2182.46,1854.22,56.8,93.48,47.91,11.95
1992,2673.74,2203.6,52.5,84.69,57.56,12
1993,3983.01,3138.56,48.4,113.37,71,12.06
1994,6008.46,4442.09,47.4,151.15,153.98,12.94
1995,7274.74,5565.68,48.5,239.52,194.62,13.06
1996,8353.65,6544.73,46.2,300.81,307.95,12.82
1997,9068.81,7188.71,43.6,336.28,419.19,13.07
1998,9193.15,7911.94,39.5,342.39,542.78,13.66
1999,9491.69,7493.31,40.8,316.26,556.93,14.55
2000,10921.31,7997.37,39.8,407.61,656.28,15.26
2001,11991.14,9463.07,34.3,510.1,1091.85,16.15
2002,12969.89,9396.45,40.3,954.53,1062.13,16.16
